Image Name,label,spoof
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000008_0035565.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000015_0039113.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000022_0011850.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000023_0014666.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000024_0015131.jpg,1,0.9999997616
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000037_0006492.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000041_0058679.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000045_0025078.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000072_0010886.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000078_0059841.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000085_0045932.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000087_0048519.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000089_0045771.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000093_0028597.jpg,1,0.9999996424
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000104_0048629.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000105_0033446.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000106_0049557.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000110_0011962.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000116_0051354.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000118_0041958.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000128_0026404.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000132_0045197.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000134_0040919.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000148_0003297.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000154_0033260.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000169_0059675.jpg,1,0.9999997616
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000178_0044446.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000189_0016104.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000195_0041453.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000201_0042616.jpg,1,0.9999996424
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000204_0050608.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000206_0003449.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000211_0054512.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000218_0023004.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000226_0034728.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000229_0013194.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000235_0030526.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000236_0001611.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000237_0005535.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000251_0016671.jpg,1,0.9999998808
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000254_0040200.jpg,1,0.9999995232
C:\Users\Mantra\Documents\facial\liveness_models\face_folder0\000276_0008927.jpg,1,0.9999998808
